Titel;Album;Interpret;Jahr;;Titel;Album;Interpret;Jahr;;;;;
Brother Where You Bound;Brother Where You Bound;Supertramp;1985;;Brother Where You Bound;Brother Where You Bound;Supertramp;1985;;1;1;1;1
Brownsville Girl;Knocked Out Loaded;Bob Dylan;1986;;Brownsville Girl;Knocked Out Loaded;Bob Dylan;1986;;1;1;1;1
Buckets Of Rain;Blood On The Tracks;Bob Dylan;1975;;Buckets Of Rain;Blood On The Tracks;Bob Dylan;1975;;1;1;1;1
Bunkhouse Theme;Pat Garrett And Billy The Kid;Bob Dylan;1973;;Bunkhouse Theme;Pat Garrett And Billy The Kid;Bob Dylan;1973;;1;1;1;1
Bye And Bye;Love And Theft;Bob Dylan;2001;;Bye And Bye;Love And Theft;Bob Dylan;2001;;1;1;1;1
C'est What;Some Things Never Change;Supertramp;1997;;Canadee-I-O;Good As I Been To You;Bob Dylan;1992;;1;1;1;1
C'est le bon;Famous Last Words;Supertramp;1982;;Cannonball;Breakfast In America;Supertramp;1979;;1;1;1;1
Can't Help Falling in Love;Dylan;Bob Dylan;1973;;Cannonball;Brother Where You Bound;Supertramp;1985;;1;1;#NV;#NV
Can't Wait;Time Out Of Mind;Bob Dylan;1997;;Cannonball;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;1;#NV;#NV
Canadee-I-O;Good As I Been To You;Bob Dylan;1992;;Cannonball;The Very Best Of Supertramp;Supertramp;1990;;#NV;#NV;#NV;1
Cannonball;Breakfast In America;Supertramp;1979;;Cannonball (live);It Was The Best Of Times;Supertramp;1999;;#NV;#NV;1;#NV
Cannonball;Brother Where You Bound;Supertramp;1985;;Can't Help Falling in Love;Dylan;Bob Dylan;1973;;#NV;#NV;1;1
Cannonball (live);It Was The Best Of Times;Supertramp;1999;;Can't Wait;Time Out Of Mind;Bob Dylan;1997;;#NV;#NV;1;1
Cannonball;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;Cantina Theme;Pat Garrett And Billy The Kid;Bob Dylan;1973;;#NV;1;1;1
Cannonball;The Very Best Of Supertramp;Supertramp;1990;;Casual Conversations;Breakfast In America;Supertramp;1979;;#NV;1;1;1
Cantina Theme;Pat Garrett And Billy The Kid;Bob Dylan;1973;;Cat's In The Wheel;Under The Red Sky;Bob Dylan;1990;;#NV;#NV;1;#NV
Casual Conversations;Breakfast In America;Supertramp;1979;;C'est le bon;Famous Last Words;Supertramp;1982;;#NV;#NV;1;#NV
Cat's In The Wheel;Under The Red Sky;Bob Dylan;1990;;C'est What;Some Things Never Change;Supertramp;1997;;#NV;1;#NV;#NV
Changing Of The Guards;Street Legal;Bob Dylan;1978;;Changing Of The Guards;Street Legal;Bob Dylan;1978;;1;1;1;1
Changing Of The Guards;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;Changing Of The Guards;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;1;1;1;1
Child Of Vision;Breakfast In America;Supertramp;1979;;Child Of Vision;Breakfast In America;Supertramp;1979;;1;1;1;1
Chimes Of Freedom;Another Side Of Bob Dylan;Bob Dylan;1964;;Chimes Of Freedom;Another Side Of Bob Dylan;Bob Dylan;1964;;1;1;1;1
Clean Cut Kid;Empire Burlesque;Bob Dylan;1985;;Clean Cut Kid;Empire Burlesque;Bob Dylan;1985;;1;1;1;1
Clothes Line Saga;The Basement Tapes;Bob Dylan;1975;;Clothes Line Saga;The Basement Tapes;Bob Dylan;1975;;1;1;1;1
Cold Irons Bound;Time Out Of Mind;Bob Dylan;1997;;Cold Irons Bound;Time Out Of Mind;Bob Dylan;1997;;1;1;1;1
Coming Home To See You;Indelibly Stamped;Supertramp;1971;;Coming Home To See You;Indelibly Stamped;Supertramp;1971;;1;1;1;1
Copper Kettle;Self Portrait;Bob Dylan;1970;;Copper Kettle;Self Portrait;Bob Dylan;1970;;1;1;1;1
Country Pie;Nashville Skyline;Bob Dylan;1969;;Country Pie;Nashville Skyline;Bob Dylan;1969;;1;1;1;1
Covenant Woman;Saved;Bob Dylan;1980;;Covenant Woman;Saved;Bob Dylan;1980;;1;1;1;1
Crash On The Levee (Down In The Flood);The Basement Tapes;Bob Dylan;1975;;Crash On The Levee (Down In The Flood);The Basement Tapes;Bob Dylan;1975;;1;1;1;1
Crazy;Famous Last Words;Supertramp;1982;;Crazy;Famous Last Words;Supertramp;1982;;1;1;1;1
Crime Of The Century;Crime Of The Century;Supertramp;1974;;Crime Of The Century;Crime Of The Century;Supertramp;1974;;1;1;1;1
Crime Of The Century (live);Paris;Supertramp;1980;;Crime Of The Century;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;#NV;1;#NV
Crime Of The Century;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;Crime Of The Century;The Very Best Of Supertramp;Supertramp;1990;;1;#NV;1;1
Crime Of The Century;The Very Best Of Supertramp;Supertramp;1990;;Crime Of The Century (live);Paris;Supertramp;1980;;#NV;1;1;1
Cry A While;Love And Theft;Bob Dylan;2001;;Cry A While;Love And Theft;Bob Dylan;2001;;1;1;1;1
Dark Eyes;Empire Burlesque;Bob Dylan;1985;;Dark Eyes;Empire Burlesque;Bob Dylan;1985;;1;1;1;1
Day Of The Locusts;New Morning;Bob Dylan;1970;;Day Of The Locusts;New Morning;Bob Dylan;1970;;1;1;1;1
Days Of 49;Self Portrait;Bob Dylan;1970;;Days Of 49;Self Portrait;Bob Dylan;1970;;1;1;1;1
Dead Man's Blues;Slow Motion;Supertramp;2002;;Dead Man, Dead Man;Shot Of Love;Bob Dylan;1981;;1;1;1;1
Dead Man, Dead Man;Shot Of Love;Bob Dylan;1981;;Dead Man's Blues;Slow Motion;Supertramp;2002;;#NV;#NV;#NV;#NV
Dear Landlord;John Wesley Harding;Bob Dylan;1967;;Dear Landlord;John Wesley Harding;Bob Dylan;1967;;1;1;1;1
Death Is Not The End;Down In The Groove;Bob Dylan;1988;;Death Is Not The End;Down In The Groove;Bob Dylan;1988;;1;1;1;1
Delia;World Gone Wrong;Bob Dylan;1993;;Delia;World Gone Wrong;Bob Dylan;1993;;1;1;1;1
Desolation Row;Highway 61 Revisited;Bob Dylan;1965;;Desolation Row;Highway 61 Revisited;Bob Dylan;1965;;1;1;1;1
Desolation Row (live);MTV Unplugged;Bob Dylan;1994;;Desolation Row (live);MTV Unplugged;Bob Dylan;1994;;1;1;1;1
Diamond Joe;Good As I Been To You;Bob Dylan;1992;;Diamond Joe;Good As I Been To You;Bob Dylan;1992;;1;1;1;1
Dignity (live);MTV Unplugged;Bob Dylan;1994;;Dignity;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;1;#NV;1;#NV
Dignity;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;Dignity (live);MTV Unplugged;Bob Dylan;1994;;#NV;1;1;1
