1. Zeile: Hallo
2. Zeile: Ziel
3. Zeile: DateiTitel;Album;Interpret;Jahr
Even In The Quietest Moments;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Even In The Quietest Moments;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Ever Open Door;Brother Where You Bound;Supertramp;1985
Every Grain Of Sand;Shot Of Love;Bob Dylan;1981
Everything Is Broken;Oh Mercy;Bob Dylan;1989
Everything Is Broken;The Best Of Bob Dylan;Bob Dylan;1997
Father Of Night;New Morning;Bob Dylan;1970
Final Theme ('Pat Garrett And Billy The Kid');Pat Garrett And Billy The Kid;Bob Dylan;1973
Fixin' To Die Blues;Bob Dylan;Bob Dylan;1962
Floater;Love And Theft;Bob Dylan;2001
Fool Such as I;Dylan;Bob Dylan;1973
Fool's Overture;Even In The Quietest Moments;Supertramp;1977
Fool's Overture (live);Paris;Supertramp;1980
Fool's Overture;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Forever Young (II);Planet Waves;Bob Dylan;1974
Forever Young;Planet Waves;Bob Dylan;1974
Forever Young;The Best Of Bob Dylan;Bob Dylan;1997
Forever;Indelibly Stamped;Supertramp;1971
Fourth Time Around;Blonde On Blonde;Bob Dylan;1966
Frankie And Albert;Good As I Been To You;Bob Dylan;1992
Free As A Bird;Free As A Bird;Supertramp;1987
Free As A Bird (live);It Was The Best Of Times;Supertramp;1999
Free As A Bird;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Free As A Bird;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Freight Train Blues;Bob Dylan;Bob Dylan;1962
Friend In Need;Indelibly Stamped;Supertramp;1971
Froggie Went A Courtin';Good As I Been To You;Bob Dylan;1992
From A Buick Six;Highway 61 Revisited;Bob Dylan;1965
From Now On;Breakfast In America;Supertramp;1979
From Now On;Even In The Quietest Moments;Supertramp;1977
From Now On (live);It Was The Best Of Times;Supertramp;1999
From Now On (live);Paris;Supertramp;1980
From Now On;Retrospectacle - The Supertramp Anthology;Supertramp;2005
From Now On;The Very Best Of Supertramp;Supertramp;1990
Gates Of Eden;Bringing It All Back Home;Bob Dylan;1965
Get Your Act Together;Some Things Never Change;Supertramp;1997
Girl From The North Country;Nashville Skyline;Bob Dylan;1969
Give A Little Bit;Breakfast In America;Supertramp;1979
Give A Little Bit;Even In The Quietest Moments;Supertramp;1977
Give A Little Bit;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Give A Little Bit;The Very Best Of Supertramp;Supertramp;1990
Give Me A Chance;Some Things Never Change;Supertramp;1997
God Knows;Under The Red Sky;Bob Dylan;1990
Goin' To Acapulco;The Basement Tapes;Bob Dylan;1975
Going, Going, Gone;Planet Waves;Bob Dylan;1974
Goldrush;Slow Motion;Supertramp;2002
Gone Hollywood;Breakfast In America;Supertramp;1979
Gone Hollywood;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Gone Hollywood;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Gonna Change My Way Of Thinking;Slow Train Coming;Bob Dylan;1979
Goodbye Stranger;Breakfast In America;Supertramp;1979
Goodbye Stranger (live);It Was The Best Of Times;Supertramp;1999
Goodbye Stranger;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Goodbye Stranger;The Very Best Of Supertramp;Supertramp;1990
Gospel Plow;Bob Dylan;Bob Dylan;1962
Got My Mind Made Up;Knocked Out Loaded;Bob Dylan;1986
Gotta Serve Somebody;Slow Train Coming;Bob Dylan;1979
Gotta Serve Somebody;The Best Of Bob Dylan;Bob Dylan;1997
Gotta Travel On;Self Portrait;Bob Dylan;1970
Had A Dream About You Baby;Down In The Groove;Bob Dylan;1988
Handy Dandy;Under The Red Sky;Bob Dylan;1990
Hard Times;Good As I Been To You;Bob Dylan;1992
Hazel;Planet Waves;Bob Dylan;1974
Heart Of Mine;Shot Of Love;Bob Dylan;1981
Help Me Down That Road;Some Things Never Change;Supertramp;1997
Hide In Your Shell;Breakfast In America;Supertramp;1979
Hide In Your Shell;Crime Of The Century;Supertramp;1974
Hide In Your Shell (live);Paris;Supertramp;1980
Hide In Your Shell;The Very Best Of Supertramp;Supertramp;1990
High Water;Love And Theft;Bob Dylan;2001
Highlands (live);The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Highlands;Time Out Of Mind;Bob Dylan;1997
Highway 51 Blues;Bob Dylan;Bob Dylan;1962
Highway 61 Revisited (live);Before The Flood;Bob Dylan;1974
Highway 61 Revisited;Highway 61 Revisited;Bob Dylan;1965
Highway 61 Revisited;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Home Again;Supertramp;Supertramp;1970
Honest With Me;Love And Theft;Bob Dylan;2001
House Of The Risin' Sun;Bob Dylan;Bob Dylan;1962
Hurricane;Desire;Bob Dylan;1975
Hurricane;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
I Am A Lonesome Hobo;John Wesley Harding;Bob Dylan;1967
I And I;Infidels;Bob Dylan;1983
I Believe In You;Slow Train Coming;Bob Dylan;1979
I Don't Believe You;Another Side Of Bob Dylan;Bob Dylan;1964
I Dreamed I Saw St. Augustine;John Wesley Harding;Bob Dylan;1967
I Forgot More Than You'll Ever Know;Self Portrait;Bob Dylan;1970
I Pity The Poor Immigrant;John Wesley Harding;Bob Dylan;1967
I Shall Be Free - No. 10;Another Side Of Bob Dylan;Bob Dylan;1964
I Shall Be Released (live);Before The Flood;Bob Dylan;1974
I Shall Be Released;The Best Of Bob Dylan;Bob Dylan;1997
I Threw It All Away (live);Hard Rain;Bob Dylan;1976
I Threw It All Away;Nashville Skyline;Bob Dylan;1969
I Want You;Blonde On Blonde;Bob Dylan;1966
I Want You;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
I'll Be Your Baby Tonight;John Wesley Harding;Bob Dylan;1967
I'll Be Your Baby Tonight;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
I'll Remember You;Empire Burlesque;Bob Dylan;1985
I'm Beggin' You;Free As A Bird;Supertramp;1987
Idiot Wind;Blood On The Tracks;Bob Dylan;1975
Idiot Wind (live);Hard Rain;Bob Dylan;1976
If Dogs Run Free;New Morning;Bob Dylan;1970
If Everyone Was Listening;Crime Of The Century;Supertramp;1974
If Everyone Was Listening;The Very Best Of Supertramp Vol. 2;Supertramp;1992
If Not For You;New Morning;Bob Dylan;1970
If Not For You;The Best Of Bob Dylan;Bob Dylan;1997
If You See Her, Say Hello;Blood On The Tracks;Bob Dylan;1975
In My Time Of Dyin';Bob Dylan;Bob Dylan;1962
In Search Of Little Sadie;Self Portrait;Bob Dylan;1970
In The Garden;Saved;Bob Dylan;1980
In The Summertime;Shot Of Love;Bob Dylan;1981
