Titel;Album;Interpret;Jahr
Canadee-I-O;Good As I Been To You;Bob Dylan;1992
Mr. Tambourine Man;Bringing It All Back Home;Bob Dylan;1965
A Soapbox Opera;The Very Best Of Supertramp Vol. 2;Supertramp;1992
And The Light;Some Things Never Change;Supertramp;1997
Blowin' In The Wind (live);The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Bee In Your Bonnet;Slow Motion;Supertramp;2002
Ten Thousand Men;Under The Red Sky;Bob Dylan;1990
Another Man's Woman;Crisis? What Crisis;Supertramp;1975
Turkey Chase;Pat Garrett And Billy The Kid;Bob Dylan;1973
T.V. Talkin' Song;Under The Red Sky;Bob Dylan;1990
I And I;Infidels;Bob Dylan;1983
All Along The Watchtower (live);MTV Unplugged;Bob Dylan;1994
Travelled;Indelibly Stamped;Supertramp;1971
Oh Darling;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Fool's Overture (live);Paris;Supertramp;1980
Where I Stand;Free As A Bird;Supertramp;1987
Saving Grace;Saved;Bob Dylan;1980
Can't Help Falling in Love;Dylan;Bob Dylan;1973
Simple Twist Of Fate;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
In The Garden;Saved;Bob Dylan;1980
All Along The Watchtower (live);Before The Flood;Bob Dylan;1974
Where Are You Tonight;Street Legal;Bob Dylan;1978
Dignity;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Babaji;Even In The Quietest Moments;Supertramp;1977
It Doesn't Matter;Free As A Bird;Supertramp;1987
From Now On (live);It Was The Best Of Times;Supertramp;1999
Rudy;Crime Of The Century;Supertramp;1974
If You See Her, Say Hello;Blood On The Tracks;Bob Dylan;1975
You're A Big Girl Now;Blood On The Tracks;Bob Dylan;1975
Brownsville Girl;Knocked Out Loaded;Bob Dylan;1986
Asylum;Crime Of The Century;Supertramp;1974
Up On Cripple Creek (live);Before The Flood;Bob Dylan;1974
School;Crime Of The Century;Supertramp;1974
Goodbye Stranger;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Not Dark Yet;Time Out Of Mind;Bob Dylan;1997
Billy 4;Pat Garrett And Billy The Kid;Bob Dylan;1973
Belle Isle;Self Portrait;Bob Dylan;1970
You Win I Lose (live);It Was The Best Of Times;Supertramp;1999
From A Buick Six;Highway 61 Revisited;Bob Dylan;1965
Free As A Bird;Free As A Bird;Supertramp;1987
Aubade And I Am Not Like The Other Birds Of Prey;Supertramp;Supertramp;1970
Blowin' In The Wind;Before The Flood;Bob Dylan;1974
The Logical Song;The Very Best Of Supertramp;Supertramp;1990
Black Crow Blues;Another Side Of Bob Dylan;Bob Dylan;1964
Lonesome Day Blues;Love And Theft;Bob Dylan;2001
Neighborhood Bully;Infidels;Bob Dylan;1983
Lay Lady Lay (live);Hard Rain;Bob Dylan;1976
Get Your Act Together;Some Things Never Change;Supertramp;1997
Put On Your Old Brown Shoes;Famous Last Words;Supertramp;1982
When The Deal Goes Down;Modern Times;Bob Dylan;2006
To Ramona;Another Side Of Bob Dylan;Bob Dylan;1964
One Of Us Must Know;Blonde On Blonde;Bob Dylan;1966
Surely;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Just Another Nervous Wreck;Breakfast In America;Supertramp;1979
Rainy Day Women #12 & 35 (live);Before The Flood;Bob Dylan;1974
C'est le bon;Famous Last Words;Supertramp;1982
Give A Little Bit;Breakfast In America;Supertramp;1979
Mozambique;Desire;Bob Dylan;1975
Under Your Spell;Knocked Out Loaded;Bob Dylan;1986
The Logical Song;Retrospectacle - The Supertramp Anthology;Supertramp;2005
What Can I Do For You;Saved;Bob Dylan;1980
Isis;Desire;Bob Dylan;1975
Downstream;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Ballad In Plain D;Another Side Of Bob Dylan;Bob Dylan;1964
Coming Home To See You;Indelibly Stamped;Supertramp;1971
Summer Days;Love And Theft;Bob Dylan;2001
Gates Of Eden;Bringing It All Back Home;Bob Dylan;1965
Jack-A-Roe;World Gone Wrong;Bob Dylan;1993
Man Of Peace;Infidels;Bob Dylan;1983
Rank Strangers To Me;Down In The Groove;Bob Dylan;1988
It's All Over Now Baby Blue;Bringing It All Back Home;Bob Dylan;1965
She Belongs To Me (live);Self Portrait;Bob Dylan;1970
Fool Such as I;Dylan;Bob Dylan;1973
Ain't Nobody But Me (live);Paris;Supertramp;1980
Three Angels;New Morning;Bob Dylan;1970
Tough Mama;Planet Waves;Bob Dylan;1974
Oh Darling;The Very Best Of Supertramp Vol. 2;Supertramp;1992
It's Raining Again;Famous Last Words;Supertramp;1982
Brother Where You Bound;Brother Where You Bound;Supertramp;1985
One Too Many Mornings (live);Hard Rain;Bob Dylan;1976
She Belongs To Me;Bringing It All Back Home;Bob Dylan;1965
If Not For You;The Best Of Bob Dylan;Bob Dylan;1997
Sweetheart Like You;Infidels;Bob Dylan;1983
Goodbye Stranger;The Very Best Of Supertramp;Supertramp;1990
Take The Long Way Home;Breakfast In America;Supertramp;1979
I'll Be Your Baby Tonight;John Wesley Harding;Bob Dylan;1967
Like A Rolling Stone (live);Before The Flood;Bob Dylan;1974
Time Passes Slowly;New Morning;Bob Dylan;1970
Lily, Rosemary And The Jack Of Hearts;Blood On The Tracks;Bob Dylan;1975
Everything Is Broken;The Best Of Bob Dylan;Bob Dylan;1997
Knockin' On Heaven's Door (live);Before The Flood;Bob Dylan;1974
Gotta Travel On;Self Portrait;Bob Dylan;1970
Alberta #1;Self Portrait;Bob Dylan;1970
Silvio;Down In The Groove;Bob Dylan;1988
Highway 61 Revisited;Highway 61 Revisited;Bob Dylan;1965
Don't Think Twice,It's All Right (live);Before The Flood;Bob Dylan;1974
Never Gonna Be The Same Again;Empire Burlesque;Bob Dylan;1985
Shelter From The Storm;Blood On The Tracks;Bob Dylan;1975
Wiggle Wiggle;Under The Red Sky;Bob Dylan;1990
Sister Moonshine;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Pretty Peggy-0;Bob Dylan;Bob Dylan;1962
Yazoo Street Scandal;The Basement Tapes;Bob Dylan;1975
Bunkhouse Theme;Pat Garrett And Billy The Kid;Bob Dylan;1973
Disease Of Conceit;Oh Mercy;Bob Dylan;1989
Early Mornin' Rain;Self Portrait;Bob Dylan;1970
Absolutely Sweet Marie;Blonde On Blonde;Bob Dylan;1966
One More Cup Of Coffee;Desire;Bob Dylan;1975
Unbelievable;Under The Red Sky;Bob Dylan;1990
Highway 51 Blues;Bob Dylan;Bob Dylan;1962
Hazel;Planet Waves;Bob Dylan;1974
Just Like A Woman (live);Before The Flood;Bob Dylan;1974
Hide In Your Shell;Breakfast In America;Supertramp;1979
Ballad Of A Thin Man;Highway 61 Revisited;Bob Dylan;1965
Buckets Of Rain;Blood On The Tracks;Bob Dylan;1975
Bloody Well Right (live);It Was The Best Of Times;Supertramp;1999
Dead Man, Dead Man;Shot Of Love;Bob Dylan;1981
From Now On;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Oh,Sister (live);Hard Rain;Bob Dylan;1976
When He Returns;Slow Train Coming;Bob Dylan;1979
Gonna Change My Way Of Thinking;Slow Train Coming;Bob Dylan;1979
Political World;Oh Mercy;Bob Dylan;1989
Ain't Talkin';Modern Times;Bob Dylan;2006
Positively Fourth Street;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Talkin' New York;Bob Dylan;Bob Dylan;1962
Home Again;Supertramp;Supertramp;1970
Shooting Star;Oh Mercy;Bob Dylan;1989
Dear Landlord;John Wesley Harding;Bob Dylan;1967
Ballad of Ira Hayes;Dylan;Bob Dylan;1973
Aries;Indelibly Stamped;Supertramp;1971
Lenny Bruce;Shot Of Love;Bob Dylan;1981
Sarah Jane;Dylan;Bob Dylan;1973
Over You;Retrospectacle - The Supertramp Anthology;Supertramp;2005
In My Time Of Dyin';Bob Dylan;Bob Dylan;1962
The Meaning;Crisis? What Crisis;Supertramp;1975
Billy 7;Pat Garrett And Billy The Kid;Bob Dylan;1973
Slow Train;Slow Train Coming;Bob Dylan;1979
Bonnie;Famous Last Words;Supertramp;1982
Let's Stick Together;Down In The Groove;Bob Dylan;1988
Ring Them Bells;Oh Mercy;Bob Dylan;1989
Man Of Constant Sorrow;Bob Dylan;Bob Dylan;1962
The Times They Are A-Changin' (live);MTV Unplugged;Bob Dylan;1994
Clothes Line Saga;The Basement Tapes;Bob Dylan;1975
The Night They Drove Old Dixie Down (live);Before The Flood;Bob Dylan;1974
Ballad Of A Thin Man (live);Before The Flood;Bob Dylan;1974
Million Miles;Time Out Of Mind;Bob Dylan;1997
Honest With Me;Love And Theft;Bob Dylan;2001
A Soapbox Opera;Crisis? What Crisis;Supertramp;1975
Just Like Tom Thumb's Blues;Highway 61 Revisited;Bob Dylan;1965
Try Again;Supertramp;Supertramp;1970
Odds And Ends;The Basement Tapes;Bob Dylan;1975
All I Really Want To Do;Another Side Of Bob Dylan;Bob Dylan;1964
Maggie's Farm;Bringing It All Back Home;Bob Dylan;1965
Driftin' Too Far From Shore;Knocked Out Loaded;Bob Dylan;1986
Live To Love You;Some Things Never Change;Supertramp;1997
Changing Of The Guards;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Free As A Bird;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Take The Long Way Home (live);It Was The Best Of Times;Supertramp;1999
It Ain't Me Babe;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
The Times They Are A-Changin';The Best Of Bob Dylan;Bob Dylan;1997
Tiny Montgomery;The Basement Tapes;Bob Dylan;1975
As I Went Out One Morning;John Wesley Harding;Bob Dylan;1967
Free As A Bird (live);It Was The Best Of Times;Supertramp;1999
Sittin' On Top Of The World;Good As I Been To You;Bob Dylan;1992
Million Dollar Bash;The Basement Tapes;Bob Dylan;1975
Tweedle Dee And Tweedle Dum;Love And Theft;Bob Dylan;2001
The Logical Song;Breakfast In America;Supertramp;1979
Forever;Indelibly Stamped;Supertramp;1971
Most Likely You Go Your Way And I'll Go Mine (live);Before The Flood;Bob Dylan;1974
Nashville Skyline Rag;Nashville Skyline;Bob Dylan;1969
Babaji;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Lo And Behold!;The Basement Tapes;Bob Dylan;1975
Day Of The Locusts;New Morning;Bob Dylan;1970
Is Your Love In Vain;Street Legal;Bob Dylan;1978
Precious Angel;Slow Train Coming;Bob Dylan;1979
From Now On;The Very Best Of Supertramp;Supertramp;1990
Tryin' To Get To Heaven;Time Out Of Mind;Bob Dylan;1997
Katie's Been Gone;The Basement Tapes;Bob Dylan;1975
Maybe I'm A Beggar;Supertramp;Supertramp;1970
Idiot Wind;Blood On The Tracks;Bob Dylan;1975
Dirge;Planet Waves;Bob Dylan;1974
Ever Open Door;Brother Where You Bound;Supertramp;1985
Most Of The Time;Oh Mercy;Bob Dylan;1989
Surely;Supertramp;Supertramp;1970
Casual Conversations;Breakfast In America;Supertramp;1979
Leopard-Skin Pill-Box Hat;Blonde On Blonde;Bob Dylan;1966
A Soapbox Opera (live);Paris;Supertramp;1980
Nothing To Show;Supertramp;Supertramp;1970
Highlands (live);The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Things Have Changed;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Lone Pilgrim;World Gone Wrong;Bob Dylan;1993
Even In The Quietest Moments;Even In The Quietest Moments;Supertramp;1977
Senor;Street Legal;Bob Dylan;1978
Precious Memories;Knocked Out Loaded;Bob Dylan;1986
If Everyone Was Listening;Crime Of The Century;Supertramp;1974
Child Of Vision;Breakfast In America;Supertramp;1979
Slow Motion;Slow Motion;Supertramp;2002
Visions Of Johanna;Blonde On Blonde;Bob Dylan;1966
See That My Grave Is Kept Clean;Bob Dylan;Bob Dylan;1962
Something's Burning, Baby;Empire Burlesque;Bob Dylan;1985
Lay Lady Lay (live);Before The Flood;Bob Dylan;1974
Cannonball;The Very Best Of Supertramp;Supertramp;1990
All Along The Watchtower;The Best Of Bob Dylan;Bob Dylan;1997
Diamond Joe;Good As I Been To You;Bob Dylan;1992
Dignity (live);MTV Unplugged;Bob Dylan;1994
Tears Of Rage;The Basement Tapes;Bob Dylan;1975
Downstream;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Crazy;Famous Last Words;Supertramp;1982
Bessie Smith;The Basement Tapes;Bob Dylan;1975
Joey;Desire;Bob Dylan;1975
Oh Darling;Breakfast In America;Supertramp;1979
Cat's In The Wheel;Under The Red Sky;Bob Dylan;1990
Your Poppa Don't Mind;Indelibly Stamped;Supertramp;1971
River Theme;Pat Garrett And Billy The Kid;Bob Dylan;1973
It Hurts Me Too;Self Portrait;Bob Dylan;1970
To Be Alone With You;Nashville Skyline;Bob Dylan;1969
It Ain't Me Babe (live);Before The Flood;Bob Dylan;1974
They Killed Him;Knocked Out Loaded;Bob Dylan;1986
Sooner Or Later;Some Things Never Change;Supertramp;1997
Billy 1;Pat Garrett And Billy The Kid;Bob Dylan;1973
Ragged And Dirty;World Gone Wrong;Bob Dylan;1993
All The Tired Horses;Self Portrait;Bob Dylan;1970
Tombstone Blues;Highway 61 Revisited;Bob Dylan;1965
Another Man's Woman;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Got My Mind Made Up;Knocked Out Loaded;Bob Dylan;1986
The Shape I'm In (live);Before The Flood;Bob Dylan;1974
Love Minus Zero/No Limit (live);MTV Unplugged;Bob Dylan;1994
Baby, Stop Crying;Street Legal;Bob Dylan;1978
Pressing On;Saved;Bob Dylan;1980
Cannonball;Brother Where You Bound;Supertramp;1985
Two Of Us (live);Paris;Supertramp;1980
I Shall Be Released (live);Before The Flood;Bob Dylan;1974
In The Summertime;Shot Of Love;Bob Dylan;1981
Gone Hollywood;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Gotta Serve Somebody;The Best Of Bob Dylan;Bob Dylan;1997
Freight Train Blues;Bob Dylan;Bob Dylan;1962
If Dogs Run Free;New Morning;Bob Dylan;1970
Highlands;Time Out Of Mind;Bob Dylan;1997
Moonlight;Love And Theft;Bob Dylan;2001
Motorpsycho Nitemare;Another Side Of Bob Dylan;Bob Dylan;1964
World Gone Wrong;World Gone Wrong;Bob Dylan;1993
Shooting Star (live);MTV Unplugged;Bob Dylan;1994
Yea! Heavy And A Bottle Of Bread;The Basement Tapes;Bob Dylan;1975
Two Of Us;Retrospectacle - The Supertramp Anthology;Supertramp;2005
School;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Tonight I'll Be Staying Here With You;Nashville Skyline;Bob Dylan;1969
Never Say Goodbye;Planet Waves;Bob Dylan;1974
Fourth Time Around;Blonde On Blonde;Bob Dylan;1966
Pledging My Time;Blonde On Blonde;Bob Dylan;1966
Breakfast In America;Retrospectacle - The Supertramp Anthology;Supertramp;2005
It's Alright Ma;Bringing It All Back Home;Bob Dylan;1965
The Logical Song (live);Paris;Supertramp;1980
You Win, I Lose;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Breakfast In America (live);It Was The Best Of Times;Supertramp;1999
Under The Red Sky;Under The Red Sky;Bob Dylan;1990
Lay Lady Lay;Nashville Skyline;Bob Dylan;1969
Everything Is Broken;Oh Mercy;Bob Dylan;1989
Listen To Me Please;Some Things Never Change;Supertramp;1997
I'm Beggin' You;Free As A Bird;Supertramp;1987
Cannonball (live);It Was The Best Of Times;Supertramp;1999
A Hard Rain's A-Gonna Fall;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Arthur McBride;Good As I Been To You;Bob Dylan;1992
Love Sick;Time Out Of Mind;Bob Dylan;1997
Tenth Avenue Breakdown;Slow Motion;Supertramp;2002
Fool's Overture;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Love Henry;World Gone Wrong;Bob Dylan;1993
Broke Down Engine;World Gone Wrong;Bob Dylan;1993
Chimes Of Freedom;Another Side Of Bob Dylan;Bob Dylan;1964
Hide In Your Shell (live);Paris;Supertramp;1980
I Want You;Blonde On Blonde;Bob Dylan;1966
Tight Connection To My Heart;Empire Burlesque;Bob Dylan;1985
Clean Cut Kid;Empire Burlesque;Bob Dylan;1985
Poor Boy;Crisis? What Crisis;Supertramp;1975
Silvio;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Land Ho;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Love Minus Zero/No Limit;Bringing It All Back Home;Bob Dylan;1965
Maybe Someday;Knocked Out Loaded;Bob Dylan;1986
Ain't Nobody But Me;The Very Best Of Supertramp;Supertramp;1990
Lord Is It Mine;Breakfast In America;Supertramp;1979
You Started Laughing;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Frankie And Albert;Good As I Been To You;Bob Dylan;1992
The Logical Song (live);It Was The Best Of Times;Supertramp;1999
It Ain't Me Babe;Another Side Of Bob Dylan;Bob Dylan;1964
Man In The Long Black Coat;Oh Mercy;Bob Dylan;1989
